zone_id,vertex_id,node_type,name,lat,lon,borough,capacity,page_rank,community_id,in_degree,out_degree,primary_line
33,33,TaxiZone,Zone 33,40.762981,-73.975202,Manhattan,557,0.001916,1,82,82,Q
34,34,TaxiZone,Zone 34,40.746185,-73.948792,Manhattan,824,0.002206,1,70,70,R
35,35,TaxiZone,Zone 35,40.779744,-73.986532,Manhattan,2175,0.002273,1,88,88,W
36,36,TaxiZone,Zone 36,40.801381,-73.963071,Manhattan,1774,0.002239,1,62,62,J
37,37,TaxiZone,Zone 37,40.81866,-73.974072,Manhattan,1488,0.002073,1,37,37,Z
38,38,TaxiZone,Zone 38,40.773882,-73.942423,Manhattan,816,0.002444,1,67,67,7
39,39,TaxiZone,Zone 39,40.786851,-73.947368,Manhattan,2775,0.00237,1,69,69,G
40,40,TaxiZone,Zone 40,40.775715,-74.006771,Manhattan,4330,0.00379,1,66,66,B
41,41,TaxiZone,Zone 41,40.763174,-74.007512,Manhattan,4104,0.004598,1,61,61,D
42,42,TaxiZone,Zone 42,40.773063,-73.935143,Manhattan,4130,0.004376,1,59,59,F
43,43,TaxiZone,Central Park,40.7829,-73.9654,Manhattan,4095,0.008436,1,89,89,M
44,44,TaxiZone,Zone 44,40.809887,-74.002816,Manhattan,3571,0.002832,1,36,36,L
45,45,TaxiZone,Zone 45,40.822221,-73.967236,Manhattan,3607,0.002913,1,36,36,A
46,46,TaxiZone,Zone 46,40.805807,-73.960413,Manhattan,5490,0.00543,1,55,55,C
47,47,TaxiZone,Zone 47,40.752179,-73.933241,Manhattan,5632,0.002371,1,52,52,E
48,48,TaxiZone,Clinton East,40.7614,-73.9923,Manhattan,3691,0.007228,1,75,75,1
49,49,TaxiZone,Zone 49,40.767177,-73.991435,Manhattan,3908,0.007622,1,82,82,2
50,50,TaxiZone,Clinton Hill,40.6889,-73.9662,Brooklyn,1392,0.003027,2,34,34,3
51,51,TaxiZone,Zone 51,40.797159,-74.007623,Manhattan,4733,0.004727,1,49,49,4
52,52,TaxiZone,Zone 52,40.808949,-74.009111,Manhattan,3151,0.003378,1,35,35,5
53,53,TaxiZone,Zone 53,40.810833,-73.966307,Manhattan,4787,0.002015,1,50,50,6
54,54,TaxiZone,Zone 54,40.776715,-73.982141,Manhattan,4047,0.006808,1,87,87,N
55,55,TaxiZone,Zone 55,40.750549,-73.933468,Manhattan,5589,0.001789,1,53,53,Q
56,56,TaxiZone,Zone 56,40.821835,-73.984527,Manhattan,4442,0.002433,1,32,32,R
57,57,TaxiZone,Zone 57,40.750088,-73.992762,Manhattan,5680,0.003428,1,70,70,W
58,58,TaxiZone,Zone 58,40.772308,-73.975104,Manhattan,5965,0.005399,1,88,88,J
59,59,TaxiZone,Zone 59,40.817023,-73.99857,Manhattan,4387,0.001904,1,32,32,Z
60,60,TaxiZone,Zone 60,40.76717,-73.996244,Manhattan,5447,0.00792,1,79,79,7
61,61,TaxiZone,Zone 61,40.809058,-73.996692,Manhattan,5558,0.003856,1,40,40,G
62,62,TaxiZone,Zone 62,40.7458,-73.972071,Manhattan,5163,0.005674,1,72,72,B
63,63,TaxiZone,Zone 63,40.787415,-73.9795,Manhattan,5386,0.006214,1,85,85,D
64,64,TaxiZone,Zone 64,40.773428,-73.965832,Manhattan,3054,0.004564,1,83,83,F
65,65,TaxiZone,Zone 65,40.760592,-74.008688,Manhattan,5773,0.003823,1,59,59,M
66,66,TaxiZone,Zone 66,40.755443,-74.000504,Manhattan,4146,0.007912,1,65,65,L
67,67,TaxiZone,Zone 67,40.786768,-73.942491,Manhattan,5055,0.00306,1,62,62,A
68,68,TaxiZone,East Chelsea,40.7448,-73.9955,Manhattan,3905,0.005082,1,66,66,C
69,69,TaxiZone,Zone 69,40.7668,-73.946475,Manhattan,4626,0.006579,1,68,68,E
70,70,TaxiZone,Zone 70,40.817298,-73.941406,Manhattan,4340,0.002911,1,35,35,1
71,71,TaxiZone,Zone 71,40.757946,-73.980272,Manhattan,4576,0.006215,1,81,81,2
72,72,TaxiZone,Zone 72,40.751639,-73.956453,Manhattan,5885,0.002248,1,76,76,3
73,73,TaxiZone,Zone 73,40.794515,-73.96811,Manhattan,4416,0.009131,1,70,70,4
74,74,TaxiZone,Zone 74,40.759276,-73.948436,Manhattan,5878,0.004548,1,70,70,5
75,75,TaxiZone,Zone 75,40.788615,-74.005923,Manhattan,5184,0.004669,1,65,65,6
76,76,TaxiZone,Zone 76,40.767966,-73.945681,Manhattan,5330,0.003626,1,68,68,N
77,77,TaxiZone,Zone 77,40.816629,-73.959824,Manhattan,5283,0.003037,1,42,42,Q
78,78,TaxiZone,Zone 78,40.746954,-73.956723,Manhattan,5153,0.005894,1,74,74,R
79,79,TaxiZone,East Village,40.7265,-73.9815,Manhattan,5358,0.004808,1,55,55,W
80,80,TaxiZone,Zone 80,40.784853,-73.955247,Manhattan,3522,0.00674,1,78,78,J
81,81,TaxiZone,Zone 81,40.638534,-73.962332,Brooklyn,575,0.004763,2,40,40,Z
82,82,TaxiZone,Zone 82,40.632118,-73.938462,Brooklyn,2506,0.005429,2,37,37,7
83,83,TaxiZone,Zone 83,40.630663,-73.934897,Brooklyn,1820,0.004976,2,37,37,G
84,84,TaxiZone,Zone 84,40.613783,-73.959981,Brooklyn,1001,0.003629,2,27,27,B
85,85,TaxiZone,Zone 85,40.65973,-73.948884,Brooklyn,2087,0.005642,2,43,43,D
86,86,TaxiZone,Zone 86,40.626309,-73.973033,Brooklyn,1623,0.00423,2,35,35,F
87,87,TaxiZone,Financial District North,40.7088,-74.0094,Manhattan,5075,0.002427,1,26,26,M
88,88,TaxiZone,Financial District South,40.7033,-74.0131,Manhattan,4001,0.001674,1,20,20,L
89,89,TaxiZone,Zone 89,40.650076,-73.969125,Brooklyn,1034,0.004022,2,44,44,A
90,90,TaxiZone,Flatiron,40.7401,-73.9903,Manhattan,4323,0.005115,1,66,66,C
91,91,TaxiZone,Zone 91,40.62618,-73.963278,Brooklyn,2385,0.003547,2,38,38,E
92,92,TaxiZone,Zone 92,40.68097,-73.926513,Brooklyn,1210,0.002108,2,24,24,1
93,93,TaxiZone,Zone 93,40.658608,-73.936999,Brooklyn,2755,0.006115,2,38,38,2
94,94,TaxiZone,Zone 94,40.667651,-73.941022,Brooklyn,1847,0.003239,2,33,33,3
95,95,TaxiZone,Zone 95,40.628404,-73.974345,Brooklyn,2482,0.004179,2,35,35,4
96,96,TaxiZone,Zone 96,40.627275,-73.91684,Brooklyn,2152,0.002082,2,27,27,5
97,97,TaxiZone,Zone 97,40.677056,-73.911981,Brooklyn,2727,0.001144,2,19,19,6
98,98,TaxiZone,Zone 98,40.668681,-73.944225,Brooklyn,1103,0.004978,2,32,32,N
99,99,TaxiZone,Zone 99,40.663882,-73.950554,Brooklyn,2237,0.004648,2,40,40,Q
100,100,TaxiZone,Garment District,40.7536,-73.9918,Manhattan,4768,0.006965,1,72,72,R
101,101,TaxiZone,Zone 101,40.651412,-73.943947,Brooklyn,2099,0.005583,2,45,45,W
102,102,TaxiZone,Zone 102,40.657915,-73.935521,Brooklyn,1379,0.005016,2,38,38,J
103,103,TaxiZone,Zone 103,40.644669,-73.975663,Brooklyn,2349,0.004569,2,40,40,Z
104,104,TaxiZone,Zone 104,40.621934,-73.971336,Brooklyn,1154,0.00305,2,32,32,7
105,105,TaxiZone,Zone 105,40.616799,-73.962919,Brooklyn,1048,0.002789,2,31,31,G
106,106,TaxiZone,Zone 106,40.610785,-73.913255,Brooklyn,947,0.002295,2,12,12,B
107,107,TaxiZone,Gramercy,40.7382,-73.986,Manhattan,5580,0.008785,1,65,65,D
108,108,TaxiZone,Zone 108,40.628789,-73.986849,Brooklyn,1890,0.002296,2,31,31,F
109,109,TaxiZone,Zone 109,40.659017,-73.950286,Brooklyn,2947,0.003447,2,44,44,M
110,110,TaxiZone,Zone 110,40.619385,-73.936924,Brooklyn,2929,0.00444,2,30,30,L
111,111,TaxiZone,Zone 111,40.659074,-73.976074,Brooklyn,586,0.005164,2,39,39,A
112,112,TaxiZone,Zone 112,40.640105,-73.938376,Brooklyn,2869,0.004834,2,42,42,C
113,113,TaxiZone,Greenwich Village North,40.7336,-73.9991,Manhattan,4012,0.005511,1,54,54,E
114,114,TaxiZone,Greenwich Village South,40.7299,-74.0005,Manhattan,4221,0.004935,1,49,49,1
115,115,TaxiZone,Zone 115,40.625787,-73.933378,Brooklyn,1402,0.004955,2,33,33,2
116,116,TaxiZone,Zone 116,40.640113,-73.961703,Brooklyn,1573,0.004678,2,40,40,3
117,117,TaxiZone,Zone 117,40.646213,-73.965653,Brooklyn,775,0.005158,2,44,44,4
118,118,TaxiZone,Zone 118,40.685512,-73.943269,Brooklyn,2655,0.003394,2,25,25,5
119,119,TaxiZone,Zone 119,40.677928,-73.949774,Brooklyn,2730,0.00417,2,29,29,6
120,120,TaxiZone,Zone 120,40.664336,-73.948563,Brooklyn,510,0.003823,2,38,38,N
121,121,TaxiZone,Zone 121,40.619006,-73.972739,Brooklyn,2613,0.002842,2,30,30,Q
122,122,TaxiZone,Zone 122,40.622659,-73.933423,Brooklyn,1796,0.00314,2,31,31,R
123,123,TaxiZone,Zone 123,40.665818,-73.966709,Brooklyn,1622,0.004225,2,38,38,W
124,124,TaxiZone,Zone 124,40.618585,-73.929962,Brooklyn,1462,0.002032,2,28,28,J
125,125,TaxiZone,Hudson Square,40.7268,-74.0073,Manhattan,3681,0.002498,1,43,43,Z
126,126,TaxiZone,Zone 126,40.618514,-73.979348,Brooklyn,1143,0.002482,2,27,27,7
127,127,TaxiZone,Zone 127,40.652007,-73.986403,Brooklyn,765,0.00365,2,36,36,G
128,128,TaxiZone,Zone 128,40.679431,-73.968548,Brooklyn,2558,0.003705,2,32,32,B
129,129,TaxiZone,Zone 129,40.655743,-73.968139,Brooklyn,748,0.003526,2,43,43,D
130,130,TaxiZone,Zone 130,40.62143,-73.964676,Brooklyn,1582,0.002774,2,36,36,F
131,131,TaxiZone,Zone 131,40.740212,-73.759051,Queens,2009,0.004908,3,22,22,M
132,132,TaxiZone,Zone 132,40.750672,-73.804408,Queens,2718,0.005517,3,30,30,L
133,133,TaxiZone,Zone 133,40.721761,-73.824527,Queens,2400,0.00493,3,28,28,A
134,134,TaxiZone,Zone 134,40.753112,-73.799079,Queens,614,0.00589,3,30,30,C
135,135,TaxiZone,Zone 135,40.741106,-73.808684,Queens,2732,0.005404,3,34,34,E
136,136,TaxiZone,Zone 136,40.700457,-73.823047,Queens,554,0.002243,3,14,14,1
137,137,TaxiZone,Kips Bay,40.7424,-73.98,Manhattan,4609,0.005234,1,70,70,2
138,138,TaxiZone,Zone 138,40.748147,-73.778482,Queens,2489,0.004997,3,30,30,3
139,139,TaxiZone,Zone 139,40.727477,-73.77464,Queens,1205,0.003999,3,31,31,4
140,140,TaxiZone,Lenox Hill East,40.765,-73.959,Manhattan,4349,0.005784,1,78,78,5
141,141,TaxiZone,Lenox Hill West,40.7695,-73.9625,Manhattan,4537,0.005991,1,79,79,6
142,142,TaxiZone,Lincoln Square East,40.7731,-73.9836,Manhattan,4919,0.005043,1,88,88,N
143,143,TaxiZone,Lincoln Square West,40.7751,-73.9862,Manhattan,5708,0.005092,1,88,88,Q
144,144,TaxiZone,Zone 144,40.695668,-73.763625,Queens,1946,0.001327,3,11,11,R
145,145,TaxiZone,Zone 145,40.710843,-73.834738,Queens,1994,0.002005,3,16,16,W
146,146,TaxiZone,Zone 146,40.728049,-73.785387,Queens,2941,0.003562,3,36,36,J
147,147,TaxiZone,Zone 147,40.717536,-73.784261,Queens,2578,0.003413,3,31,31,Z
148,148,TaxiZone,Lower East Side,40.715,-73.9843,Manhattan,5443,0.002621,1,42,42,7
149,149,TaxiZone,Zone 149,40.758705,-73.756524,Queens,2293,0.002627,3,21,21,G
150,150,TaxiZone,Zone 150,40.760887,-73.814262,Queens,996,0.003922,3,24,24,B
151,151,TaxiZone,Zone 151,40.749784,-73.820754,Queens,2080,0.005003,3,26,26,D
152,152,TaxiZone,Zone 152,40.764098,-73.775408,Queens,2874,0.003178,3,24,24,F
153,153,TaxiZone,Zone 153,40.700016,-73.792565,Queens,955,0.002384,3,18,18,M
154,154,TaxiZone,Zone 154,40.728818,-73.784456,Queens,2920,0.005114,3,36,36,L
155,155,TaxiZone,Zone 155,40.740386,-73.76121,Queens,2617,0.004142,3,22,22,A
156,156,TaxiZone,Zone 156,40.71329,-73.79018,Queens,2099,0.003136,3,31,31,C
157,157,TaxiZone,Zone 157,40.751992,-73.788082,Queens,1590,0.003719,3,30,30,E
158,158,TaxiZone,Meatpacking/West Village,40.739,-74.0058,Manhattan,5526,0.003648,1,56,56,1
159,159,TaxiZone,Zone 159,40.751308,-73.819189,Queens,1416,0.00401,3,27,27,2
160,160,TaxiZone,Zone 160,40.754871,-73.809025,Queens,2933,0.002702,3,29,29,3
161,161,TaxiZone,Midtown Center,40.7549,-73.984,Manhattan,4211,0.004069,1,76,76,4
162,162,TaxiZone,Midtown East,40.7551,-73.9712,Manhattan,5120,0.00505,1,80,80,5
163,163,TaxiZone,Midtown North,40.7625,-73.9779,Manhattan,3336,0.010224,1,81,81,6
164,164,TaxiZone,Midtown South,40.7506,-73.9879,Manhattan,3888,0.007768,1,74,74,N
165,165,TaxiZone,Zone 165,40.754298,-73.785628,Queens,2396,0.004234,3,30,30,Q
166,166,TaxiZone,Morningside Heights,40.8097,-73.9621,Manhattan,5617,0.003989,1,53,53,R
167,167,TaxiZone,Zone 167,40.76007,-73.821691,Queens,994,0.002291,3,20,20,W
168,168,TaxiZone,Zone 168,40.736024,-73.793232,Queens,1491,0.004156,3,35,35,J
169,169,TaxiZone,Zone 169,40.741767,-73.762294,Queens,1966,0.003298,3,24,24,Z
170,170,TaxiZone,Murray Hill,40.7489,-73.9769,Manhattan,3708,0.005536,1,73,73,7
171,171,TaxiZone,Zone 171,40.74082,-73.764142,Queens,1405,0.005113,3,25,25,G
172,172,TaxiZone,Zone 172,40.700152,-73.824931,Queens,2882,0.002909,3,14,14,B
173,173,TaxiZone,Zone 173,40.695661,-73.778163,Queens,1108,0.003084,3,14,14,D
174,174,TaxiZone,Zone 174,40.725003,-73.763195,Queens,1700,0.003044,3,23,23,F
175,175,TaxiZone,Zone 175,40.752367,-73.813619,Queens,2159,0.006561,3,30,30,M
176,176,TaxiZone,Zone 176,40.716795,-73.817892,Queens,1972,0.004611,3,28,28,L
177,177,TaxiZone,Zone 177,40.728426,-73.772036,Queens,719,0.002781,3,29,29,A
178,178,TaxiZone,Zone 178,40.730168,-73.831831,Queens,2656,0.004073,3,26,26,C
179,179,TaxiZone,Zone 179,40.764236,-73.811658,Queens,792,0.003604,3,22,22,E
180,180,TaxiZone,Zone 180,40.733218,-73.827279,Queens,2267,0.002795,3,27,27,1
181,181,TaxiZone,Zone 181,40.846722,-73.895673,Bronx,858,0.001644,4,32,32,2
182,182,TaxiZone,Zone 182,40.874925,-73.899771,Bronx,956,0.00295,4,20,20,3
183,183,TaxiZone,Zone 183,40.870668,-73.83339,Bronx,2507,0.003196,4,25,25,4
184,184,TaxiZone,Zone 184,40.810276,-73.864377,Bronx,1047,0.003379,4,25,25,5
185,185,TaxiZone,Zone 185,40.815244,-73.863596,Bronx,2018,0.006045,4,27,27,6
186,186,TaxiZone,Penn Station/Madison Sq W,40.7502,-73.993,Manhattan,2354,0.003627,1,67,67,N
187,187,TaxiZone,Zone 187,40.838403,-73.860808,Bronx,1735,0.005385,4,40,40,Q
188,188,TaxiZone,Zone 188,40.845758,-73.841625,Bronx,2987,0.002379,4,38,38,R
189,189,TaxiZone,Zone 189,40.838617,-73.874568,Bronx,731,0.00462,4,43,43,W
190,190,TaxiZone,Zone 190,40.86441,-73.854625,Bronx,1356,0.006244,4,32,32,J
191,191,TaxiZone,Zone 191,40.848129,-73.884359,Bronx,824,0.003635,4,38,38,Z
192,192,TaxiZone,Zone 192,40.865384,-73.875525,Bronx,607,0.005422,4,31,31,7
193,193,TaxiZone,Zone 193,40.836959,-73.851749,Bronx,1421,0.003905,4,37,37,G
194,194,TaxiZone,Zone 194,40.882216,-73.847317,Bronx,1995,0.004304,4,23,23,B
195,195,TaxiZone,Zone 195,40.875786,-73.896946,Bronx,945,0.00358,4,20,20,D
196,196,TaxiZone,Zone 196,40.859961,-73.858562,Bronx,1051,0.0015,4,36,36,F
197,197,TaxiZone,Zone 197,40.874233,-73.842024,Bronx,1731,0.002863,4,27,27,M
198,198,TaxiZone,Zone 198,40.853584,-73.828087,Bronx,845,0.003036,4,31,31,L
199,199,TaxiZone,Zone 199,40.857183,-73.826237,Bronx,2399,0.00386,4,28,28,A
200,200,TaxiZone,Zone 200,40.880611,-73.886676,Bronx,2219,0.002151,4,21,21,C
201,201,TaxiZone,Zone 201,40.813912,-73.84497,Bronx,1368,0.005102,4,25,25,E
202,202,TaxiZone,Prospect Heights,40.6775,-73.9692,Brooklyn,1001,0.004184,2,33,33,1
203,203,TaxiZone,Zone 203,40.872632,-73.889685,Bronx,2812,0.005343,4,25,25,2
204,204,TaxiZone,Zone 204,40.879245,-73.874304,Bronx,1523,0.004059,4,26,26,3
205,205,TaxiZone,Zone 205,40.881621,-73.859925,Bronx,2513,0.003546,4,27,27,4
206,206,TaxiZone,Zone 206,40.838986,-73.866009,Bronx,2610,0.005153,4,43,43,5
207,207,TaxiZone,Zone 207,40.845037,-73.875518,Bronx,578,0.002095,4,43,43,6
208,208,TaxiZone,Zone 208,40.813673,-73.840162,Bronx,1377,0.003704,4,26,26,N
209,209,TaxiZone,Zone 209,40.872263,-73.877751,Bronx,2619,0.004748,4,30,30,Q
210,210,TaxiZone,Zone 210,40.812794,-73.880572,Bronx,2490,0.003517,4,26,26,R
211,211,TaxiZone,Zone 211,40.867309,-73.849374,Bronx,1008,0.004355,4,30,30,W
212,212,TaxiZone,Zone 212,40.823432,-73.831865,Bronx,946,0.002552,4,27,27,J
213,213,TaxiZone,Zone 213,40.822274,-73.831276,Bronx,2490,0.003551,4,26,26,Z
214,214,TaxiZone,Zone 214,40.80866,-73.876342,Bronx,2027,0.003246,4,25,25,7
215,215,TaxiZone,Zone 215,40.817114,-73.865635,Bronx,1241,0.003829,4,27,27,G
216,216,TaxiZone,Zone 216,40.807647,-73.842428,Bronx,2563,0.002497,4,22,22,B
217,217,TaxiZone,Zone 217,40.813093,-73.841327,Bronx,1545,0.004368,4,25,25,D
218,218,TaxiZone,Zone 218,40.83154,-73.892889,Bronx,940,0.003738,4,31,31,F
219,219,TaxiZone,Zone 219,40.805879,-73.882707,Bronx,1279,0.002459,4,24,24,M
220,220,TaxiZone,Zone 220,40.833612,-73.874908,Bronx,620,0.003033,4,36,36,L
221,221,TaxiZone,Zone 221,40.848526,-73.827655,Bronx,2409,0.003236,4,32,32,A
222,222,TaxiZone,Zone 222,40.846882,-73.849975,Bronx,2784,0.005457,4,41,41,C
223,223,TaxiZone,Zone 223,40.870031,-73.841731,Bronx,675,0.00424,4,29,29,E
224,224,TaxiZone,SoHo,40.7233,-73.9985,Manhattan,2998,0.001936,1,46,46,1
225,225,TaxiZone,Zone 225,40.828173,-73.861988,Bronx,2803,0.004081,4,33,33,2
226,226,TaxiZone,Zone 226,40.876397,-73.877214,Bronx,2249,0.005076,4,28,28,3
227,227,TaxiZone,Zone 227,40.814998,-73.858355,Bronx,1731,0.003583,4,28,28,4
228,228,TaxiZone,Zone 228,40.838705,-73.861461,Bronx,1056,0.003681,4,41,41,5
229,229,TaxiZone,Stuyvesant Heights,40.6836,-73.94,Brooklyn,780,0.00227,2,25,25,6
230,230,TaxiZone,Stuyvesant Town,40.7318,-73.9785,Manhattan,1967,0.001803,1,62,62,N
231,231,TaxiZone,Sunset Park East,40.6465,-74.0069,Brooklyn,1644,0.001617,2,22,22,Q
232,232,TaxiZone,Zone 232,40.565668,-74.162509,Staten Island,2174,0.005347,5,18,18,R
233,233,TaxiZone,Zone 233,40.551458,-74.118823,Staten Island,2544,0.003163,5,12,12,W
234,234,TaxiZone,Times Square/Theatre District,40.758,-73.9855,Manhattan,1655,0.003515,1,78,78,J
235,235,TaxiZone,Zone 235,40.613947,-74.148383,Staten Island,768,0.003379,5,9,9,Z
236,236,TaxiZone,Upper East Side North,40.7736,-73.9566,Manhattan,1696,0.003813,1,78,78,7
237,237,TaxiZone,Upper East Side South,40.7669,-73.9588,Manhattan,2544,0.001964,1,77,77,G
238,238,TaxiZone,Zone 238,40.544727,-74.168978,Staten Island,2105,0.003767,5,12,12,B
239,239,TaxiZone,Upper West Side North,40.799,-73.968,Manhattan,2381,0.002805,1,66,66,D
240,240,TaxiZone,Zone 240,40.562981,-74.15577,Staten Island,2335,0.004025,5,18,18,F
241,241,TaxiZone,Zone 241,40.588696,-74.143935,Staten Island,644,0.004545,5,17,17,M
242,242,TaxiZone,Zone 242,40.594275,-74.185784,Staten Island,2851,0.003925,5,12,12,L
243,243,TaxiZone,Upper West Side South,40.7831,-73.9741,Manhattan,2229,0.003704,1,90,90,A
244,244,TaxiZone,Zone 244,40.562754,-74.182258,Staten Island,1275,0.003089,5,16,16,C
245,245,TaxiZone,Zone 245,40.612048,-74.181198,Staten Island,1758,0.002251,5,8,8,E
246,246,TaxiZone,West Chelsea/Hudson Yards,40.7504,-74.002,Manhattan,1817,0.002223,1,62,62,1
247,247,TaxiZone,Zone 247,40.568794,-74.117597,Staten Island,912,0.001756,5,12,12,2
248,248,TaxiZone,Zone 248,40.594859,-74.151397,Staten Island,1742,0.003997,5,15,15,3
249,249,TaxiZone,West Village,40.7336,-74.0027,Manhattan,2911,0.002061,1,53,53,4
250,250,TaxiZone,Zone 250,40.556682,-74.168387,Staten Island,2513,0.005681,5,18,18,5
251,251,TaxiZone,Zone 251,40.590509,-74.181959,Staten Island,1663,0.003311,5,13,13,6
252,252,TaxiZone,Zone 252,40.539933,-74.155545,Staten Island,2945,0.003633,5,13,13,N
253,253,TaxiZone,Zone 253,40.560465,-74.135521,Staten Island,1944,0.005366,5,15,15,Q
254,254,TaxiZone,Zone 254,40.580465,-74.138991,Staten Island,1531,0.003864,5,20,20,R
255,255,TaxiZone,Zone 255,40.576615,-74.172357,Staten Island,2010,0.003522,5,19,19,W
256,256,TaxiZone,Zone 256,40.543163,-74.14331,Staten Island,2276,0.003727,5,13,13,J
257,257,TaxiZone,Zone 257,40.613886,-74.125668,Staten Island,925,0.002084,5,5,5,Z
258,258,TaxiZone,Zone 258,40.54627,-74.137565,Staten Island,782,0.005119,5,14,14,7
259,259,TaxiZone,Zone 259,40.594718,-74.182132,Staten Island,1768,0.003907,5,12,12,G
260,260,TaxiZone,Zone 260,40.547229,-74.172794,Staten Island,2014,0.004192,5,13,13,B
261,261,TaxiZone,Williamsburg (North),40.7145,-73.9565,Brooklyn,787,0.001842,1,40,40,D
262,262,TaxiZone,Williamsburg (South),40.7081,-73.9571,Brooklyn,752,0.001556,1,37,37,F
263,263,TaxiZone,Yorkville East,40.7767,-73.9483,Manhattan,2085,0.002968,1,71,71,M
